Date,Open,High,Low,Close,Adj Close,Volume
6/28/2018,0.85,0.9845,0.6,0.85,0.85,13984
6/29/2018,0.85,1.91,0.65,0.912,0.912,22117
6/30/2018,0.912,1.35,0.8,1.05,1.05,125944
7/1/2018,1.05,3.88,0.9455,3,3,7026243
7/2/2018,3,6.9,2.5,4.2,4.2,21951537
7/3/2018,4.2,4.45,2.56,3.24,3.24,18817513
7/4/2018,3.24,3.35,2.61,2.86,2.86,8117576
7/5/2018,2.86,3.55,2.83,3.23,3.23,10051055
7/6/2018,3.23,3.33,2.62,2.65,2.65,7465810
7/7/2018,2.65,2.76,2.05,2.37,2.37,8588127
7/8/2018,2.37,2.51,2.07,2.22,2.22,5414423
7/9/2018,2.22,2.25,1.44,1.7,1.7,7816152
7/10/2018,1.7,1.84,1.4,1.53,1.53,8732379
7/11/2018,1.53,2.07,1.41,1.96,1.96,6247001
7/12/2018,1.96,2.02,1.58,1.71,1.71,3892904
7/13/2018,1.71,1.71,1.46,1.51,1.51,3712786
7/14/2018,1.51,1.52,1.28,1.29,1.29,4110173
7/15/2018,1.29,1.37,1.12,1.22,1.22,3648786
7/16/2018,1.22,1.59,1.2,1.51,1.51,4910881
7/17/2018,1.51,1.78,1.44,1.67,1.67,5033825
7/18/2018,1.67,1.8,1.39,1.45,1.45,4576710
7/19/2018,1.45,1.79,1.41,1.71,1.71,3412364
7/20/2018,1.71,1.98,1.68,1.79,1.79,4266150
7/21/2018,1.79,2.08,1.77,2.03,2.03,3886531
7/22/2018,2.03,2.18,1.8,1.91,1.91,5162630
7/23/2018,1.91,1.99,1.81,1.9,1.9,3396305
7/24/2018,1.9,1.91,1.53,1.67,1.67,5017566
7/25/2018,1.67,1.74,1.49,1.66,1.66,4538640
7/26/2018,1.66,1.94,1.64,1.91,1.91,5308046
7/27/2018,1.91,1.98,1.77,1.8,1.8,5264663
7/28/2018,1.8,1.87,1.6,1.81,1.81,4810950
7/29/2018,1.81,1.89,1.69,1.79,1.79,3085982
7/30/2018,1.79,1.81,1.64,1.72,1.72,3919388
7/31/2018,1.72,1.83,1.68,1.77,1.77,5236301
8/1/2018,1.77,1.93,1.69,1.76,1.76,3549752
8/2/2018,1.76,1.81,1.69,1.78,1.78,2981679
8/3/2018,1.78,1.85,1.7,1.78,1.78,3395697
8/4/2018,1.78,1.96,1.72,1.86,1.86,5778221
8/5/2018,1.86,1.88,1.75,1.76,1.76,4030809
8/6/2018,1.76,1.87,1.7,1.83,1.83,5206772
8/7/2018,1.83,1.98,1.79,1.86,1.86,6442701
8/8/2018,1.86,1.98,1.78,1.82,1.82,4507591
8/9/2018,1.82,1.91,1.79,1.84,1.84,4646113
8/10/2018,1.84,1.87,1.7,1.76,1.76,6178302
8/11/2018,1.76,1.83,1.6,1.65,1.65,4966141
8/12/2018,1.65,1.69,1.51,1.59,1.59,5671503
8/13/2018,1.59,1.69,1.51,1.61,1.61,4853686
8/14/2018,1.61,1.72,1.57,1.62,1.62,5240985
8/15/2018,1.62,1.64,1.55,1.59,1.59,4261201
8/16/2018,1.59,1.61,1.49,1.52,1.52,5121019
8/17/2018,1.52,1.53,1.35,1.4,1.4,4806175
8/18/2018,1.4,1.44,1.29,1.39,1.39,3802323
8/19/2018,1.39,1.42,1.33,1.36,1.36,3418818
8/20/2018,1.36,1.39,1.31,1.33,1.33,4382936
8/21/2018,1.33,1.33,1.24,1.27,1.27,4568631
8/22/2018,1.27,1.54,1.26,1.42,1.42,8702128
8/23/2018,1.42,1.42,1.33,1.37,1.37,3807187
8/24/2018,1.37,1.44,1.33,1.37,1.37,4134960
8/25/2018,1.37,1.39,1.33,1.36,1.36,3183819
8/26/2018,1.36,1.38,1.32,1.34,1.34,3134463
8/27/2018,1.34,1.36,1.29,1.33,1.33,3538019
8/28/2018,1.33,1.38,1.31,1.32,1.32,4410672
8/29/2018,1.32,1.35,1.22,1.25,1.25,5856106
8/30/2018,1.25,1.35,1.25,1.34,1.34,6523912
8/31/2018,1.34,1.35,1.28,1.32,1.32,5539771
9/1/2018,1.32,1.44,1.19,1.24,1.24,5435995
9/2/2018,1.24,1.33,1.21,1.3,1.3,4887793
9/3/2018,1.3,1.3,0.8219,0.9142,0.9142,11774351
9/4/2018,0.9142,0.9777,0.7502,0.923,0.923,7729943
9/5/2018,0.923,1.16,0.856,0.9106,0.9106,11989392
9/6/2018,0.9106,1.02,0.852,0.9828,0.9828,10287229
9/7/2018,0.9828,0.9912,0.7804,0.8421,0.8421,8815302
9/8/2018,0.8421,0.8487,0.7577,0.8174,0.8174,3424553
9/9/2018,0.8174,0.8193,0.6992,0.745,0.745,3960901
9/10/2018,0.745,0.764,0.7101,0.735,0.735,2765708
9/11/2018,0.735,0.8944,0.729,0.859,0.859,6731634
9/12/2018,0.859,0.8595,0.6603,0.7272,0.7272,5613781
9/13/2018,0.7272,0.7642,0.5207,0.5806,0.5806,6929316
9/14/2018,0.5806,0.6782,0.5149,0.6511,0.6511,4543809
9/15/2018,0.6511,0.6798,0.5781,0.624,0.624,2166344
9/16/2018,0.624,0.649,0.5678,0.6233,0.6233,3524669
9/17/2018,0.6233,0.7075,0.6229,0.7049,0.7049,3151410
9/18/2018,0.7049,0.7128,0.6465,0.6493,0.6493,2555517
9/19/2018,0.6493,0.6673,0.6152,0.6166,0.6166,3416422
9/20/2018,0.6166,0.6293,0.5434,0.5671,0.5671,4113626
9/21/2018,0.5671,0.5793,0.5312,0.5659,0.5659,2609360
9/22/2018,0.5659,0.6048,0.5579,0.578,0.578,2705869
9/23/2018,0.578,0.5861,0.5415,0.5454,0.5454,3208145
9/24/2018,0.5454,0.5779,0.5245,0.5688,0.5688,3122841
9/25/2018,0.5688,0.5854,0.5511,0.5614,0.5614,3111743
9/26/2018,0.5614,0.6438,0.5569,0.6314,0.6314,6093032
9/27/2018,0.6314,0.8237,0.6292,0.8085,0.8085,11634404
9/28/2018,0.8085,0.8435,0.6979,0.7146,0.7146,8597897
9/29/2018,0.7146,0.7585,0.7061,0.7274,0.7274,4603840
9/30/2018,0.7274,0.7285,0.6631,0.7085,0.7085,3774630
10/1/2018,0.7085,0.719,0.6331,0.6549,0.6549,3348450
10/2/2018,0.6549,0.669,0.6057,0.6308,0.6308,2841163
10/3/2018,0.6308,0.6347,0.5829,0.6008,0.6008,2556541
10/4/2018,0.6008,0.6214,0.5752,0.6054,0.6054,3418564
10/5/2018,0.6054,0.61,0.5862,0.6005,0.6005,2401400
10/6/2018,0.6005,0.6075,0.5712,0.5895,0.5895,2213861
10/7/2018,0.5895,0.6174,0.5754,0.606,0.606,3004729
10/8/2018,0.606,0.6061,0.5248,0.558,0.558,3385306
10/9/2018,0.558,0.5892,0.5474,0.552,0.552,3287961
10/10/2018,0.552,0.6278,0.5468,0.6076,0.6076,4345919
10/11/2018,0.6076,0.642,0.5814,0.5947,0.5947,4340594
10/12/2018,0.5947,0.6169,0.5483,0.5872,0.5872,4042813
10/13/2018,0.5872,0.6185,0.5768,0.5836,0.5836,3466288
10/14/2018,0.5836,0.5918,0.5629,0.5738,0.5738,2788497
10/15/2018,0.574,0.5853,0.5593,0.5608,0.5608,2371426
10/16/2018,0.5612,0.5675,0.5374,0.5501,0.5501,2552997
10/17/2018,0.5519,0.5679,0.511,0.5432,0.5432,3082220
10/18/2018,0.5434,0.5946,0.5424,0.5663,0.5663,3901100
10/19/2018,0.5665,0.5888,0.5395,0.5395,0.5395,2991733
10/20/2018,0.5396,0.541,0.5122,0.5284,0.5284,3480635
10/21/2018,0.5282,0.5415,0.4979,0.5192,0.5192,2365226
10/22/2018,0.5189,0.5239,0.4793,0.4924,0.4924,3006265
10/23/2018,0.4925,0.5512,0.4776,0.5176,0.5176,3087091
10/24/2018,0.5173,0.5278,0.4856,0.5041,0.5041,2290713
10/25/2018,0.5038,0.5284,0.5023,0.5189,0.5189,2126872
10/26/2018,0.5189,0.5237,0.5011,0.5213,0.5213,1868391
10/27/2018,0.5218,0.5409,0.5165,0.5339,0.5339,2171490
10/28/2018,0.5336,0.6793,0.5327,0.6668,0.6668,8282721
10/30/2018,0.6671,0.747,0.6409,0.7125,0.7125,9021667
10/31/2018,0.7125,0.7826,0.6676,0.7826,0.7826,6841174
11/1/2018,0.7822,1.33,0.7522,1.05,1.05,35716244
11/2/2018,1.05,1.3,0.916,1.11,1.11,34049392
11/3/2018,1.11,1.42,1.06,1.2,1.2,31281541
11/4/2018,1.2,1.3,1.04,1.11,1.11,20190363
11/5/2018,1.11,1.18,0.973,1.09,1.09,15041656
11/6/2018,1.09,1.09,0.9015,0.9124,0.9124,13562909
11/7/2018,0.9123,0.9937,0.9107,0.9518,0.9518,7388368
11/8/2018,0.9517,1.19,0.9434,1.12,1.12,18144083
11/9/2018,1.12,1.21,1.12,1.18,1.18,10712325
11/10/2018,1.18,1.19,0.9844,1.03,1.03,11005764
11/11/2018,1.03,1.19,1,1.16,1.16,10015980
11/12/2018,1.16,1.19,1.02,1.09,1.09,9319549
11/13/2018,1.09,1.19,1.08,1.18,1.18,7492603
11/14/2018,1.18,1.69,1.18,1.68,1.68,31284841
11/15/2018,1.68,1.73,1.51,1.67,1.67,25979233
11/16/2018,1.67,1.87,1.56,1.67,1.67,29287595
11/17/2018,1.67,1.82,1.58,1.74,1.74,20311991
11/18/2018,1.74,1.99,1.65,1.92,1.92,21390803
11/19/2018,1.91,2.06,1.75,1.88,1.88,21388039
11/20/2018,1.88,2.05,1.83,1.99,1.99,19143342
11/21/2018,1.99,2.12,1.84,1.91,1.91,23733914
11/22/2018,1.91,1.99,1.76,1.89,1.89,17831198
11/23/2018,1.89,1.98,1.85,1.88,1.88,15119870
11/24/2018,1.88,1.91,1.71,1.88,1.88,13361558
11/25/2018,1.88,2.07,1.78,2.05,2.05,15220203
11/26/2018,2.05,2.71,1.93,2.46,2.46,3390936
11/27/2018,2.46,2.96,2.35,2.86,2.86,36932451
11/28/2018,2.86,3.06,2.71,2.76,2.76,33310024
11/29/2018,2.76,3.36,2.48,2.71,2.71,41887552
11/30/2018,2.71,2.98,2.44,2.84,2.84,30681545
12/1/2018,2.84,3.25,2.69,3.22,3.22,22754467
12/2/2018,3.22,3.98,3.16,3.91,3.91,43225605
12/3/2018,3.91,4.12,3.4,3.58,3.58,37420561
12/4/2018,3.58,4.2,3.41,4.04,4.04,41289807
12/5/2018,4.04,4.57,3.65,4.19,4.19,69064180
12/6/2018,4.19,5.12,4.16,4.47,4.47,68301459
12/7/2018,4.47,4.47,3.28,3.89,3.89,59402340
12/8/2018,3.89,4.5,3.53,4.22,4.22,39526763
12/9/2018,4.22,4.63,3.68,3.98,3.98,39182987
12/10/2018,3.98,4.01,3.4,3.67,3.67,26372941
12/11/2018,3.67,4.48,3.65,4.39,4.39,44205898
12/12/2018,4.39,5.88,4.23,5.08,5.08,69445612
12/13/2018,5.08,7.28,4.69,7.28,7.28,208583796
12/14/2018,7.28,8.7,7.04,8.2,8.2,175990593
