Date,Open,High,Low,Close,Adj Close,Volume
5/18/2018,27.879999,28.200001,26.190001,27.27,27.27,37085394
5/19/2018,27.27,28.17,26.66,27.42,27.42,20413017
5/20/2018,27.42,28.540001,25.26,26.02,26.02,33593334
5/21/2018,26.02,26.700001,22.82,24.790001,24.790001,53140116
5/22/2018,24.790001,31.719999,24.4,31.360001,31.360001,69453835
5/23/2018,31.360001,35.939999,29.85,34.799999,34.799999,76427969
5/24/2018,34.799999,35.759998,26.07,28.32,28.32,82873114
5/25/2018,28.32,31.35,23.35,24.450001,24.450001,62136621
5/26/2018,24.450001,25.940001,18.129999,22.83,22.83,63559697
5/27/2018,22.83,25.92,21.790001,23.889999,23.889999,37736853
5/28/2018,23.889999,25.99,23.01,25.33,25.33,25039934
5/29/2018,25.33,26.33,23.540001,23.889999,23.889999,28996976
5/30/2018,23.889999,25.99,23.51,25.91,25.91,25232341
5/31/2018,25.91,29.610001,25.77,27.549999,27.549999,49800957
6/1/2018,27.549999,28.65,26.780001,28.27,28.27,22513588
6/2/2018,28.27,28.559999,26.809999,27.27,27.27,16824195
6/3/2018,27.27,27.93,26.860001,27.889999,27.889999,15762467
6/4/2018,27.889999,31.620001,27.85,30.780001,30.780001,40548644
6/5/2018,30.780001,31.190001,28.32,30.07,30.07,42992959
6/6/2018,30.07,30.57,27.879999,28.469999,28.469999,25712956
6/7/2018,28.469999,30.389999,27.799999,29.9,29.9,24919274
6/8/2018,29.9,30.629999,29.51,29.540001,29.540001,21986499
6/9/2018,29.540001,30.309999,29.389999,30.059999,30.059999,24059480
6/10/2018,30.059999,34.43,29.65,33.630001,33.630001,52704206
6/11/2018,33.630001,33.700001,27.09,28.98,28.98,55552187
6/12/2018,28.98,30.610001,28.74,30.379999,30.379999,22434912
6/13/2018,30.379999,31.809999,27.959999,29.190001,29.190001,40744168
6/14/2018,29.190001,29.790001,25.450001,29.290001,29.290001,42738176
6/15/2018,29.290001,34.18,28.32,34.119999,34.119999,53638308
6/16/2018,34.119999,47.700001,34.119999,45.799999,45.799999,204842940
6/17/2018,45.799999,45.810001,39.490002,43.799999,43.799999,106024449
6/18/2018,43.799999,50.139999,42.450001,47.369999,47.369999,134413488
6/19/2018,47.369999,48.32,43.290001,45.68,45.68,68659918
6/20/2018,45.68,46.75,42.849998,44.5,44.5,53663961
6/21/2018,44.5,47.91,43.209999,46.16,46.16,44885019
6/22/2018,46.16,46.98,45.48,46,46,24046249
6/23/2018,46,46.09,42.040001,42.700001,42.700001,35158428
6/24/2018,42.700001,44.02,39.330002,41.279999,41.279999,40946994
6/25/2018,41.279999,42.209999,34.43,38.529999,38.529999,67058517
6/26/2018,38.529999,40.240002,34.189999,40.240002,40.240002,51972842
6/27/2018,40.240002,43.099998,37.950001,41.889999,41.889999,47463923
6/28/2018,41.889999,41.939999,39.450001,40.130001,40.130001,25918352
6/29/2018,40.130001,41.220001,39.290001,39.48,39.48,20906005
6/30/2018,39.48,39.700001,37.119999,38.080002,38.080002,19837650
7/1/2018,38.080002,41.650002,36.869999,41.259998,41.259998,26758013
7/2/2018,41.259998,47.560001,40.360001,45.34,45.34,82237199
7/3/2018,45.34,54.82,45.34,54.509998,54.509998,136045162
7/4/2018,54.509998,56.580002,49.110001,52.919998,52.919998,97598572
7/5/2018,52.919998,52.98,49.790001,51.040001,51.040001,42796216
7/6/2018,51.040001,51.18,44.470001,46.099998,46.099998,82111789
7/7/2018,46.099998,52.110001,44.330002,51.220001,51.220001,62095488
7/8/2018,51.220001,52.400002,48.32,48.630001,48.630001,43087563
7/9/2018,48.630001,49.66,42.68,45,45,66471287
7/10/2018,45,46.689999,41.84,43.98,43.98,66201265
7/11/2018,43.98,48.380001,42.400002,47.139999,47.139999,60143698
7/12/2018,47.139999,47.66,44.07,45.689999,45.689999,33745880
7/13/2018,45.689999,45.959999,39.959999,42.459999,42.459999,53012174
7/14/2018,42.459999,42.68,37.700001,38.41,38.41,55602665
7/15/2018,38.41,41.810001,35.490002,40.700001,40.700001,65293460
7/16/2018,40.700001,42.98,39.91,42.169998,42.169998,60156241
7/17/2018,42.169998,44.84,40.740002,43.349998,43.349998,57140834
7/18/2018,43.349998,43.77,39.82,40.110001,40.110001,41443140
7/19/2018,40.110001,45.23,40.110001,44.349998,44.349998,61701476
7/20/2018,44.349998,47.310001,43.990002,45.200001,45.200001,51397779
7/21/2018,45.200001,47.110001,44.880001,46.470001,46.470001,22979927
7/22/2018,46.470001,46.669998,43.630001,44.669998,44.669998,28134127
7/23/2018,44.669998,45.279999,43.849998,44.77,44.77,20003120
7/24/2018,44.77,45.049999,40.52,42.299999,42.299999,42446216
7/25/2018,42.299999,43.09,40.470001,42.029999,42.029999,24636676
7/26/2018,42.029999,42.41,40.889999,41.889999,41.889999,20292493
7/27/2018,41.889999,42.189999,40.169998,40.43,40.43,25261842
7/28/2018,40.43,41.400002,38.549999,41.07,41.07,21624892
7/29/2018,41.07,42.049999,39.82,40.610001,40.610001,14790620
7/30/2018,40.610001,43.57,38.450001,42.380001,42.380001,36896252
7/31/2018,42.380001,43.93,41.110001,43.16,43.16,39690704
8/1/2018,43.16,43.189999,41.66,41.919998,41.919998,20133705
8/2/2018,41.919998,43.18,41.799999,42.75,42.75,14029809
8/3/2018,42.75,43.77,42.41,43.310001,43.310001,16242345
8/4/2018,43.310001,47.23,43.209999,46.240002,46.240002,40240694
8/5/2018,46.240002,46.880001,45.16,45.560001,45.560001,20509678
8/6/2018,45.560001,46.700001,45.209999,46.110001,46.110001,19821566
8/7/2018,46.110001,49.93,45.689999,49.130001,49.130001,38124611
8/8/2018,49.130001,50.200001,46.900002,47.779999,47.779999,36171405
8/9/2018,47.779999,48.68,46.970001,46.970001,46.970001,18788211
8/10/2018,46.970001,47.619999,46.630001,47.110001,47.110001,21086959
8/11/2018,47.110001,47.77,46,46.27,46.27,26154345
8/12/2018,46.27,47.43,44,45.490002,45.490002,35331475
8/13/2018,45.490002,46.560001,45.150002,45.700001,45.700001,19459261
8/14/2018,45.700001,45.799999,41.779999,43.169998,43.169998,33786160
8/15/2018,43.169998,44.939999,42.099998,43.970001,43.970001,22142597
8/16/2018,43.970001,44.740002,43.130001,43.830002,43.830002,18733697
8/17/2018,43.830002,47.919998,43.23,46.740002,46.740002,40574149
8/18/2018,46.740002,46.889999,43.389999,45.189999,45.189999,20514354
8/19/2018,45.189999,47.389999,44.07,45.810001,45.810001,17689808
8/20/2018,45.810001,48.939999,45.27,48.09,48.09,30030772
8/21/2018,48.09,48.099998,44.849998,46.400002,46.400002,28209467
8/22/2018,46.400002,55.43,46.049999,53.439999,53.439999,83643726
8/23/2018,53.439999,53.580002,50.34,50.360001,50.360001,56389670
8/24/2018,50.360001,52.299999,49.779999,51.09,51.09,30861268
8/25/2018,51.09,52.130001,50.09,51.580002,51.580002,22089859
8/26/2018,51.580002,64.489998,51.369999,61.080002,61.080002,121485913
8/27/2018,61.080002,64.949997,58.869999,62.360001,62.360001,81891911
8/28/2018,62.360001,64.199997,61.169998,63.759998,63.759998,58218596
8/29/2018,63.759998,66.57,61.860001,65.970001,65.970001,52584713
8/30/2018,65.970001,74.589996,65.120003,73.029999,73.029999,129559211
8/31/2018,73.029999,92.769997,71.5,87.879997,87.879997,316464574
9/1/2018,87.879997,93.669998,73.290001,79.18,79.18,260187395
9/2/2018,79.18,84.07,74.949997,79.040001,79.040001,124890039
9/3/2018,79.040001,79.059998,62.970001,68.889999,68.889999,197880261
9/4/2018,68.889999,74.690002,63.290001,73.730003,73.730003,137991645
9/5/2018,73.730003,82.169998,73.690002,81.440002,81.440002,147734449
9/6/2018,81.440002,82.839996,77.400002,80.25,80.25,96855844
9/7/2018,80.25,82.199997,68.419998,73.190002,73.190002,187197024
9/8/2018,73.190002,73.949997,69,71.089996,71.089996,76615292
9/9/2018,71.089996,71.110001,63.330002,67.080002,67.080002,105909535
9/10/2018,67.080002,71.209999,65.550003,68.129997,68.129997,73656622
9/11/2018,68.129997,71.970001,64.720001,65.889999,65.889999,97264307
9/12/2018,65.889999,66.339996,57.869999,61.779999,61.779999,140918803
9/13/2018,61.779999,62.66,44.900002,45.200001,45.200001,205038177
9/14/2018,45.200001,55.650002,33.380001,52,52,343835193
9/15/2018,52,57.34,50.540001,52.099998,52.099998,120187655
9/16/2018,52.099998,53.18,47.73,51,51,73060667
9/17/2018,51,57.490002,50.98,56.16,56.16,111381221
9/18/2018,56.16,56.700001,51.27,52.799999,52.799999,89515520
9/19/2018,52.799999,54.369999,51.07,51.560001,51.560001,46361439
9/20/2018,51.560001,52.48,45.110001,46.459999,46.459999,100420510
9/21/2018,46.459999,49.029999,44.799999,47.669998,47.669998,76916515
9/22/2018,47.669998,50.009998,46.380001,49.290001,49.290001,44793106
9/23/2018,49.290001,49.400002,47.18,47.5,47.5,29589565
9/24/2018,47.5,53.16,47.470001,52.27,52.27,66087743
9/25/2018,52.27,54.369999,51.419998,52.27,52.27,48431172
9/26/2018,52.27,57.389999,52.240002,56.900002,56.900002,75024623
9/27/2018,56.900002,57.16,54,54.91,54.91,64516773
9/28/2018,54.91,54.93,50.439999,52.799999,52.799999,64227763
9/29/2018,52.799999,55.91,52.75,55.41,55.41,36860837
9/30/2018,55.41,55.549999,53.580002,54.799999,54.799999,30401267
10/1/2018,54.799999,54.970001,52.93,53.290001,53.290001,30684048
10/2/2018,53.290001,53.540001,51.34,52.150002,52.150002,30707803
10/3/2018,52.150002,52.98,50.529999,51.220001,51.220001,31053173
10/4/2018,51.220001,51.869999,50.169998,51.639999,51.639999,26593841
10/5/2018,51.639999,52.75,51.34,52.080002,52.080002,21668387
10/6/2018,52.080002,52.900002,51.610001,52.57,52.57,19001783
10/7/2018,52.57,54.790001,52.32,53.299999,53.299999,36217438
10/8/2018,53.299999,53.439999,48.119999,50.080002,50.080002,54786620
10/9/2018,50.080002,51.630001,49.689999,50.580002,50.580002,31741909
10/10/2018,50.580002,51.049999,50.18,50.790001,50.790001,19957142
10/11/2018,50.790001,59.720001,50.73,59.720001,59.720001,121666559
10/12/2018,59.720001,60.759998,55.110001,59.049999,59.049999,122355541
10/13/2018,59.049999,66.480003,58.34,63.939999,63.939999,111286807
10/14/2018,63.939999,69.949997,62.080002,65.57,65.57,136097133
10/15/2018,65.580002,66.410004,62.279999,64.760002,64.760002,57750104
10/16/2018,64.760002,64.970001,58.5,59.189999,59.189999,62123185
10/17/2018,59.189999,61.889999,53.049999,60.549999,60.549999,98042683
