Date,Open,High,Low,Close,Adj Close,Volume
10/2/2018,0.002761,0.003451,0.002071,0.002545,0.002545,227444
10/3/2018,0.002489,0.003586,0.002278,0.003164,0.003164,477297
10/4/2018,0.003241,0.00363,0.002939,0.003457,0.003457,244275
10/5/2018,0.003498,0.003498,0.002667,0.003017,0.003017,190723
10/6/2018,0.003061,0.003194,0.002262,0.002528,0.002528,121290
10/7/2018,0.002629,0.003274,0.00226,0.002444,0.002444,82501
10/8/2018,0.002532,0.002914,0.001481,0.002054,0.002054,119465
10/9/2018,0.00179,0.00256,0.00168,0.00255,0.00255,305
10/10/2018,0.00255,0.00339,0.00166,0.0025,0.0025,5429
10/11/2018,0.0025,0.00293,0.0018,0.0018,0.0018,290
10/12/2018,0.0018,0.00288,0.0018,0.00201,0.00201,220
10/13/2018,0.00201,0.00293,0.00199,0.00274,0.00274,119
10/14/2018,0.00274,0.00292,0.00199,0.00225,0.00225,393
10/15/2018,0.00297,0.00392,0.00198,0.00253,0.00253,667
10/16/2018,0.00253,0.00253,0.00177,0.00218,0.00218,97
10/17/2018,0.002,0.00216,0.00184,0.00192,0.00192,1359
10/18/2018,0.00192,0.00217,0.00178,0.0018,0.0018,89849
10/19/2018,0.0018,0.00214,0.00178,0.00213,0.00213,4509
10/20/2018,0.00213,0.00256,0.00183,0.00234,0.00234,2288
10/21/2018,0.00234,0.00265,0.00205,0.00265,0.00265,921
10/22/2018,0.00265,0.00319,0.00217,0.00312,0.00312,2330
10/23/2018,0.00312,0.00314,0.00215,0.00266,0.00266,762
10/24/2018,0.00266,0.004,0.00266,0.004,0.004,4061
10/25/2018,0.004,0.00412,0.00252,0.00296,0.00296,2713
10/26/2018,0.00296,0.00379,0.00261,0.00312,0.00312,2972
10/27/2018,0.00312,0.00369,0.0029,0.00368,0.00368,2109
10/28/2018,0.00368,0.00469,0.00264,0.00269,0.00269,2526
10/30/2018,0.00269,0.0037,0.00228,0.00262,0.00262,1934
10/31/2018,0.00262,0.0034,0.00249,0.00278,0.00278,7086
11/1/2018,0.00278,0.00283,0.00221,0.00222,0.00222,473
11/2/2018,0.00222,0.0027,0.00202,0.00212,0.00212,498
11/3/2018,0.00212,0.00263,0.00212,0.00217,0.00217,134
