Date,Open,High,Low,Close,Adj Close,Volume
5/18/2018,0.3575,0.3594,0.2817,0.3224,0.3224,19250494
5/19/2018,0.3224,0.359,0.289,0.3449,0.3449,18702933
5/20/2018,0.3449,0.36,0.319,0.324,0.324,10681141
5/21/2018,0.324,0.3308,0.2348,0.2988,0.2988,19685837
5/22/2018,0.2988,0.3542,0.2827,0.3229,0.3229,13244183
5/23/2018,0.3229,0.34,0.286,0.29,0.29,15365254
5/24/2018,0.29,0.3027,0.231,0.24,0.24,20208070
5/25/2018,0.24,0.3282,0.24,0.276,0.276,19654368
5/26/2018,0.276,0.287,0.135,0.21,0.21,28093426
5/27/2018,0.21,0.2489,0.2033,0.2281,0.2281,11990463
5/28/2018,0.2281,0.2462,0.2102,0.2324,0.2324,10585430
5/29/2018,0.2324,0.2388,0.1868,0.2042,0.2042,8841687
5/30/2018,0.2042,0.251,0.1931,0.2475,0.2475,11365542
5/31/2018,0.2475,0.34,0.2456,0.3364,0.3364,36224800
6/1/2018,0.3364,0.3372,0.2759,0.2959,0.2959,14682655
6/2/2018,0.2959,0.307,0.2711,0.2921,0.2921,7343416
6/3/2018,0.2921,0.31,0.271,0.2941,0.2941,4301001
6/4/2018,0.2941,0.2979,0.2869,0.2888,0.2888,3537444
6/5/2018,0.2888,0.295,0.274,0.284,0.284,11631815
6/6/2018,0.284,0.3,0.2717,0.2762,0.2762,12841935
6/7/2018,0.2762,0.2973,0.27,0.2869,0.2869,6947528
6/8/2018,0.2869,0.296,0.28,0.2814,0.2814,5686608
6/9/2018,0.2814,0.2848,0.2555,0.2598,0.2598,9130607
6/10/2018,0.2598,0.28,0.2543,0.2701,0.2701,5691147
6/11/2018,0.2701,0.282,0.2325,0.2467,0.2467,14044119
6/12/2018,0.2467,0.275,0.2454,0.2626,0.2626,6073130
6/13/2018,0.2626,0.3,0.245,0.2623,0.2623,15105056
6/14/2018,0.2623,0.2642,0.214,0.245,0.245,11786932
6/15/2018,0.245,0.257,0.2325,0.2506,0.2506,4736284
6/16/2018,0.2506,0.265,0.2357,0.2597,0.2597,7225216
6/17/2018,0.2597,0.278,0.247,0.2651,0.2651,8604390
6/18/2018,0.2651,0.282,0.2588,0.281,0.281,5576730
6/19/2018,0.281,0.325,0.2742,0.308,0.308,23633172
6/20/2018,0.308,0.3126,0.2542,0.2726,0.2726,13552632
6/21/2018,0.2726,0.2816,0.2513,0.2779,0.2779,12535773
6/22/2018,0.2779,0.295,0.2767,0.2916,0.2916,6728587
6/23/2018,0.2916,0.3039,0.2564,0.2775,0.2775,20595203
6/24/2018,0.2775,0.2816,0.2485,0.2577,0.2577,6609432
6/25/2018,0.2577,0.2672,0.2184,0.2461,0.2461,13774522
6/26/2018,0.2461,0.2618,0.2261,0.2618,0.2618,9886565
6/27/2018,0.2618,0.2687,0.2487,0.2686,0.2686,7124296
6/28/2018,0.2686,0.2693,0.2513,0.2561,0.2561,5613510
6/29/2018,0.2561,0.2596,0.245,0.2466,0.2466,4386458
6/30/2018,0.2466,0.2518,0.2337,0.2386,0.2386,4226316
7/1/2018,0.2386,0.2547,0.233,0.2537,0.2537,3370660
7/2/2018,0.2537,0.2567,0.2445,0.2523,0.2523,4894775
7/3/2018,0.2523,0.2581,0.2471,0.2473,0.2473,4552741
7/4/2018,0.2473,0.2563,0.2434,0.252,0.252,3825545
7/5/2018,0.252,0.2528,0.2482,0.2506,0.2506,2448037
7/6/2018,0.2506,0.2516,0.2298,0.2303,0.2303,5350475
7/7/2018,0.2303,0.2321,0.2112,0.23,0.23,8530812
7/8/2018,0.23,0.2422,0.2259,0.2261,0.2261,3367302
7/9/2018,0.2261,0.2269,0.1707,0.1883,0.1883,10202148
7/10/2018,0.1883,0.1994,0.1511,0.1778,0.1778,16492185
7/11/2018,0.1778,0.1971,0.1656,0.1958,0.1958,8495998
7/12/2018,0.1958,0.2178,0.181,0.1925,0.1925,7799127
7/13/2018,0.1925,0.1925,0.1717,0.1843,0.1843,4975616
7/14/2018,0.1843,0.1848,0.1707,0.172,0.172,5111050
7/15/2018,0.172,0.1743,0.1275,0.1461,0.1461,16453626
7/16/2018,0.1461,0.1732,0.1451,0.1723,0.1723,11566967
7/17/2018,0.1723,0.189,0.1605,0.1788,0.1788,11136863
7/18/2018,0.1788,0.1838,0.1574,0.163,0.163,8558816
7/19/2018,0.163,0.1962,0.162,0.1925,0.1925,13017266
7/20/2018,0.1925,0.1936,0.1828,0.1835,0.1835,7761281
7/21/2018,0.1835,0.2022,0.182,0.1977,0.1977,8561872
7/22/2018,0.1977,0.2065,0.1873,0.1966,0.1966,10605349
7/23/2018,0.1966,0.1984,0.1893,0.1915,0.1915,4456025
7/24/2018,0.1915,0.1926,0.1658,0.1744,0.1744,9890837
7/25/2018,0.1744,0.1787,0.1642,0.1723,0.1723,5998446
7/26/2018,0.1723,0.1756,0.17,0.1725,0.1725,3627058
7/27/2018,0.1725,0.1738,0.1591,0.1633,0.1633,5383494
7/28/2018,0.1633,0.1704,0.155,0.169,0.169,4233058
7/29/2018,0.169,0.1709,0.1609,0.1633,0.1633,2120755
7/30/2018,0.1633,0.1689,0.1585,0.1648,0.1648,3987083
7/31/2018,0.1648,0.1847,0.162,0.1776,0.1776,12410580
8/1/2018,0.1776,0.1794,0.1676,0.1709,0.1709,6160970
8/2/2018,0.1709,0.1771,0.1696,0.1748,0.1748,3208349
8/3/2018,0.1748,0.1767,0.1717,0.1744,0.1744,3673325
8/4/2018,0.1744,0.1928,0.1719,0.1848,0.1848,11198088
8/5/2018,0.1848,0.1896,0.1786,0.1802,0.1802,5419936
8/6/2018,0.1802,0.1828,0.1766,0.1782,0.1782,5622922
8/7/2018,0.1782,0.1972,0.1772,0.1967,0.1967,13600183
8/8/2018,0.1967,0.1967,0.1818,0.1841,0.1841,7855535
8/9/2018,0.1841,0.185,0.1784,0.1809,0.1809,6147587
8/10/2018,0.1809,0.184,0.1758,0.1778,0.1778,7048463
8/11/2018,0.1778,0.1825,0.1707,0.1716,0.1716,7092830
8/12/2018,0.1716,0.1721,0.1587,0.1657,0.1657,10320750
8/13/2018,0.1657,0.1801,0.1652,0.1683,0.1683,6437674
8/14/2018,0.1683,0.1683,0.153,0.1577,0.1577,10458430
8/15/2018,0.1577,0.1606,0.1489,0.1603,0.1603,8335191
8/16/2018,0.1603,0.161,0.154,0.1578,0.1578,6246548
8/17/2018,0.1578,0.1704,0.1518,0.1569,0.1569,10675897
8/18/2018,0.1569,0.1616,0.1483,0.1526,0.1526,7065430
8/19/2018,0.1526,0.1611,0.1494,0.1587,0.1587,5164770
8/20/2018,0.1587,0.2081,0.1523,0.1958,0.1958,26693972
8/21/2018,0.1958,0.2598,0.1715,0.2421,0.2421,63274812
8/22/2018,0.2421,0.2977,0.2169,0.2457,0.2457,91004423
8/23/2018,0.2457,0.2862,0.2124,0.2173,0.2173,60293466
8/24/2018,0.2173,0.2309,0.2029,0.2167,0.2167,26684921
8/25/2018,0.2167,0.2308,0.2069,0.2097,0.2097,12656357
8/26/2018,0.2097,0.2104,0.193,0.2018,0.2018,13797221
8/27/2018,0.2018,0.242,0.1947,0.2252,0.2252,39451333
8/28/2018,0.2252,0.2262,0.2125,0.2199,0.2199,17593049
8/29/2018,0.2199,0.2332,0.2175,0.2319,0.2319,13197215
8/30/2018,0.2319,0.2648,0.2275,0.2593,0.2593,24967187
8/31/2018,0.2593,0.2604,0.2444,0.2529,0.2529,23395578
9/1/2018,0.2529,0.2538,0.2185,0.2252,0.2252,26604564
9/2/2018,0.2252,0.2381,0.2168,0.2303,0.2303,16286560
9/3/2018,0.2303,0.2306,0.1901,0.2045,0.2045,22534210
9/4/2018,0.2045,0.2204,0.1917,0.2168,0.2168,15405037
9/5/2018,0.2168,0.2329,0.2162,0.2314,0.2314,14069400
9/6/2018,0.2314,0.2318,0.2216,0.2271,0.2271,9618400
9/7/2018,0.2271,0.2295,0.2026,0.2122,0.2122,17117912
9/8/2018,0.2122,0.2145,0.2075,0.213,0.213,5570562
9/9/2018,0.213,0.2243,0.1993,0.2173,0.2173,11568283
9/10/2018,0.2173,0.2216,0.2087,0.2143,0.2143,9218343
9/11/2018,0.2143,0.2242,0.206,0.2095,0.2095,11284359
9/12/2018,0.2095,0.2099,0.1904,0.1983,0.1983,11129429
9/13/2018,0.1983,0.2007,0.1663,0.1711,0.1711,19799145
9/14/2018,0.1711,0.1917,0.1483,0.1846,0.1846,26276485
9/15/2018,0.1846,0.1918,0.1741,0.1828,0.1828,10110436
